,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism
art deco,321,1,5,2,5,14,6,10,1,6,0,5,7,26,13,3,9,0
art nouveau (modern),0,287,1,0,4,7,5,1,22,0,0,0,0,3,3,2,0,16
baroque,7,0,188,1,6,6,12,10,3,1,2,3,4,8,10,11,5,0
expressionism,5,0,2,180,8,2,3,3,0,52,0,2,6,0,12,2,1,0
contemporary realism,116,43,80,56,1120,55,21,82,69,146,11,49,174,80,69,40,146,72
neo-expressionism,26,6,20,10,20,196,14,47,12,3,4,21,27,26,8,16,6,9
magic realism,13,10,20,0,7,43,1194,158,15,0,28,16,1,2,18,31,7,4
cubism,17,2,19,8,16,39,89,192,4,14,8,21,4,4,15,22,13,5
northern renaissance,8,190,30,2,70,57,69,27,1839,0,43,14,9,14,50,26,30,276
early renaissance,70,0,3,788,174,39,23,41,1,1633,7,31,144,38,72,19,26,1
minimalism,0,1,4,0,0,2,7,5,1,0,232,0,0,0,0,21,0,1
symbolism,7,0,2,1,4,10,15,26,6,9,3,245,8,4,17,4,34,17
art informel,29,2,10,24,60,37,10,24,9,54,1,16,794,116,31,7,57,9
high renaissance,28,2,6,2,18,15,0,4,12,9,2,9,54,164,5,1,11,0
rococo,57,7,25,38,24,6,17,26,29,23,9,14,17,12,441,13,41,15
lyrical abstraction,3,1,9,3,4,16,19,29,0,3,48,5,3,2,4,365,2,1
fauvism,10,1,13,7,45,25,6,16,3,6,2,36,44,24,27,5,429,9
abstract expressionism,0,34,3,0,22,10,10,14,68,1,1,19,3,0,6,6,13,741
