,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,80,6,1,1,1,0,0,2,1,0,0,1,0,0,0,0,0,1,3,5,0,4,0,0,0,0,0,1,1,2,6,0
art nouveau (modern),2,450,3,52,8,3,2,2,16,2,0,51,5,0,4,3,5,7,4,3,1,25,41,0,26,50,2,18,8,20,13,7
baroque,0,2,499,1,1,0,0,0,23,7,0,5,0,14,85,0,0,0,8,0,0,0,65,0,0,42,0,0,84,2,2,0
expressionism,5,48,5,660,35,23,4,27,3,0,2,47,27,1,1,18,77,32,1,9,5,127,28,1,41,92,1,3,10,60,54,13
contemporary realism,3,2,2,9,69,1,2,1,1,0,1,5,1,0,0,1,1,2,7,2,0,1,13,0,10,18,1,0,2,4,5,4
neo-expressionism,1,4,1,33,5,42,1,3,1,0,0,1,12,0,0,5,3,28,0,6,2,4,2,3,2,1,0,1,0,4,6,0
magic realism,4,11,1,14,13,0,67,7,6,2,0,5,0,0,2,1,1,2,5,7,0,11,9,0,2,3,0,1,4,11,14,3
cubism,2,1,0,37,1,1,1,176,1,0,0,5,3,0,0,1,9,2,0,4,8,9,0,1,1,1,0,0,0,8,14,0
northern renaissance,0,2,15,2,1,0,0,0,327,6,0,6,0,9,5,0,0,0,4,0,0,0,11,0,1,7,0,1,39,2,2,0
early renaissance,0,0,4,0,0,0,0,0,32,127,0,4,1,11,0,1,0,0,0,0,0,0,2,0,0,5,1,0,26,3,1,1
minimalism,0,0,0,0,2,0,0,0,0,0,148,0,4,0,0,0,0,5,0,1,5,0,0,21,0,1,0,0,0,0,0,0
symbolism,1,36,9,43,6,1,0,4,16,1,1,290,1,0,9,5,3,1,2,1,0,14,48,3,32,66,0,2,9,8,21,5
art informel,0,3,0,16,3,8,0,3,0,0,9,1,93,0,0,19,2,55,0,3,7,0,0,7,0,1,0,0,0,1,7,1
high renaissance,0,2,18,0,0,0,0,0,39,16,1,1,0,71,0,0,0,1,2,0,0,0,0,0,0,1,1,0,70,0,0,1
rococo,0,0,52,0,0,0,0,0,6,0,0,1,0,1,320,0,0,0,7,0,0,0,34,0,1,9,0,0,4,1,1,0
lyrical abstraction,0,2,0,3,2,3,0,2,0,0,2,0,7,0,0,60,2,20,0,0,1,0,0,13,0,0,0,0,0,0,1,0
fauvism,0,1,0,19,0,0,0,4,0,0,0,1,2,0,0,0,44,6,0,0,1,22,0,1,3,0,0,0,0,8,1,0
abstract expressionism,1,3,0,21,3,10,0,7,0,0,14,4,88,0,0,48,2,249,0,10,26,3,0,36,5,2,0,1,0,3,13,1
neoclassicism,1,6,41,3,4,0,0,0,7,1,1,4,0,4,72,0,1,0,241,0,0,3,61,0,1,18,6,0,10,1,3,1
pop art,5,9,0,16,6,13,0,4,2,0,4,1,6,0,0,4,3,13,1,105,4,3,0,4,0,0,0,1,0,13,6,0
abstract art,2,0,0,12,2,3,1,38,0,0,9,2,20,0,0,8,2,33,0,8,97,1,1,16,1,1,0,0,0,3,6,0
post-impressionism,2,30,1,113,7,2,0,4,11,2,0,35,6,1,2,4,47,4,2,3,0,439,23,0,236,74,0,4,3,20,3,5
romanticism,2,29,74,13,11,2,1,0,32,4,0,38,0,6,134,2,0,3,20,0,0,12,882,0,52,203,19,3,35,12,2,4
color field painting,0,0,0,0,2,0,0,1,0,0,27,0,3,0,0,4,0,7,0,1,6,0,0,159,0,0,0,0,0,0,1,0
impressionism,0,16,7,39,13,0,0,1,3,0,0,46,3,2,11,7,12,6,1,1,0,206,105,1,1546,260,5,1,2,8,1,4
realism,4,33,62,37,31,2,2,2,18,2,0,49,6,6,39,4,0,1,12,0,0,69,296,0,252,1029,12,1,23,15,3,10
academicism,1,2,18,0,1,0,0,0,3,1,0,6,0,1,13,0,0,0,11,0,0,0,43,0,5,27,27,0,7,0,1,1
ukiyo-e,0,13,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,186,0,3,2,0
mannerism (late renaissance),0,0,31,0,2,0,0,0,10,6,0,4,0,8,8,0,0,0,1,0,0,0,7,0,0,4,1,0,182,0,0,0
naïve art (primitivism),2,18,2,48,4,3,4,4,13,0,0,5,3,0,1,2,11,8,2,9,1,11,7,1,6,8,0,2,3,283,21,3
surrealism,5,26,3,54,20,8,8,38,21,3,3,26,20,2,1,8,3,31,8,17,11,4,27,1,2,2,1,2,3,48,394,4
neo-romanticism,2,14,0,5,2,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,5,7,0,3,6,0,0,1,1,2,41
