index_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,281,0,6,0,36,9,8,2,4,25,1,4,10,24,14,2,6,2
1,0,255,0,0,10,2,2,0,60,0,0,1,0,1,3,0,0,17
2,2,2,172,0,25,9,13,2,3,3,6,5,4,2,11,10,7,1
3,2,0,1,88,7,3,2,2,1,154,0,4,4,0,8,1,1,0
4,54,25,38,1,1428,36,26,16,94,278,6,30,142,24,51,25,91,64
5,13,4,18,1,51,203,24,23,19,28,3,20,18,11,7,7,9,12
6,9,10,7,0,9,17,1396,37,22,2,1,12,0,2,15,16,5,7
7,18,2,12,3,35,30,151,100,4,42,9,24,1,4,20,17,10,10
8,6,76,10,1,95,30,52,4,2228,2,20,4,2,7,29,12,10,166
9,33,0,5,103,162,17,20,17,1,2586,5,22,54,5,47,10,20,3
10,0,0,3,0,2,2,14,2,6,0,221,1,0,0,0,20,3,0
11,2,0,2,0,12,6,20,5,11,15,1,264,5,4,17,1,29,18
12,15,0,3,4,87,21,14,2,17,93,1,12,893,48,28,2,45,5
13,14,2,11,0,35,13,2,2,11,25,0,7,77,113,9,2,19,0
14,33,4,17,5,39,5,23,7,45,72,7,13,15,2,480,9,25,13
15,8,2,7,3,12,10,23,14,4,6,32,9,2,1,6,374,2,2
16,3,0,11,2,74,14,12,6,6,18,1,31,30,9,30,2,450,9
17,0,17,0,0,40,7,12,4,130,1,0,9,1,0,4,2,3,721
