index_name,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape,18,19,20,21,22,23,24,25,26,27,28,29,30,31
nude painting (nu),80,4,0,4,0,0,5,0,0,0,1,2,0,0,0,0,0,0,3,3,1,3,1,0,1,2,0,0,0,1,5,0
marina,13,483,5,50,0,2,3,0,4,3,1,55,2,2,1,0,2,4,2,6,2,27,20,0,43,55,1,10,0,8,26,3
animal painting,0,4,606,4,0,0,0,0,16,3,0,7,0,11,39,0,0,0,22,0,0,0,49,0,2,42,0,0,27,4,4,0
self-portrait,5,44,4,760,14,32,8,20,6,1,1,46,11,0,0,1,31,44,6,13,3,138,13,1,67,76,0,2,0,31,81,1
genre painting,4,5,0,16,37,7,10,0,0,0,1,4,0,0,0,0,0,4,4,5,0,4,8,0,6,38,1,0,0,2,12,0
symbolic painting,0,7,0,34,0,52,3,2,1,0,0,4,1,0,0,1,2,26,0,13,2,1,1,0,2,2,0,0,0,5,12,0
abstract,5,11,2,13,6,2,92,0,1,1,0,2,1,0,0,0,0,1,7,6,2,5,5,0,8,6,0,1,0,8,20,1
figurative,3,1,1,43,0,1,4,159,0,0,0,3,4,0,0,0,2,6,0,2,15,21,0,0,0,0,0,0,0,3,17,1
landscape,0,6,32,4,1,1,2,0,280,13,0,6,0,24,0,0,0,0,8,1,0,1,14,0,2,14,0,0,22,3,4,2
portrait,0,2,9,3,0,0,0,0,18,141,1,8,0,25,0,0,0,0,2,0,0,1,3,0,0,1,0,1,2,0,2,0
flower painting,0,0,0,0,1,1,0,0,0,0,141,0,2,0,0,0,0,7,0,1,8,0,0,24,1,0,0,0,0,0,1,0
design,3,23,9,51,2,0,4,1,7,1,0,323,0,1,8,0,0,1,3,0,2,21,29,0,35,69,1,1,3,6,34,0
religious painting,1,2,0,21,0,9,0,0,0,0,9,4,75,0,0,10,5,67,0,4,12,2,2,2,2,3,0,0,0,2,7,0
mythological painting,0,2,17,1,0,0,0,0,19,21,0,0,0,127,0,0,0,1,7,0,0,0,2,0,0,5,1,0,20,1,0,0
sketch and study,0,1,80,0,1,0,0,0,0,0,0,2,0,1,233,0,0,0,34,0,0,0,59,0,0,25,0,0,1,0,0,0
still life,0,0,0,7,1,4,0,1,0,0,2,2,10,0,0,35,0,38,0,1,4,1,0,7,0,2,0,0,0,1,2,0
illustration,0,3,0,39,0,1,0,0,0,0,0,2,2,0,0,0,26,4,0,1,0,17,0,0,5,0,0,0,0,10,3,0
cityscape,1,2,0,23,2,12,0,7,1,0,21,9,40,0,0,14,6,311,1,12,16,4,1,22,11,2,0,0,0,6,25,1
18,3,7,33,8,1,0,0,0,2,2,0,4,0,2,32,0,0,1,309,0,0,5,50,0,3,22,2,0,1,0,3,0
19,3,7,0,16,1,4,2,3,0,0,4,3,1,0,0,2,3,11,0,132,5,0,2,3,1,1,0,0,0,5,14,0
20,1,1,0,25,0,4,0,18,0,0,7,3,7,0,0,2,3,35,0,12,115,2,0,13,3,1,0,0,0,1,13,0
21,2,29,1,158,3,3,3,1,3,0,0,35,1,2,0,0,19,5,4,1,2,431,8,0,242,101,1,5,0,14,7,2
22,0,38,89,20,1,0,4,0,8,6,0,42,1,4,58,1,0,3,58,0,0,7,869,0,59,299,4,1,5,7,10,1
23,0,0,0,0,3,1,0,1,0,0,28,1,6,0,0,1,0,20,0,1,7,0,0,142,0,0,0,0,0,0,0,0
24,0,23,11,75,4,2,2,1,1,0,0,42,0,0,4,2,2,3,5,1,0,134,71,0,1545,370,1,0,0,5,3,0
25,5,28,58,44,9,0,3,1,12,0,0,68,2,4,9,2,0,1,26,2,0,46,172,0,211,1282,6,1,3,11,12,2
26,0,4,14,0,0,0,1,0,1,1,0,3,0,0,9,0,0,0,34,0,0,0,32,0,5,41,18,0,2,0,3,0
27,0,10,0,1,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,7,2,1,0,0,0,1,0,176,0,2,5,0
28,0,3,57,2,0,0,0,0,14,9,0,3,0,32,5,0,0,0,9,0,0,0,9,0,2,6,0,0,112,0,0,1
29,8,17,1,57,4,8,7,3,0,1,0,8,1,2,1,1,5,7,4,17,2,16,4,0,6,14,0,0,0,258,31,2
30,4,13,5,63,5,10,20,16,2,2,2,33,6,2,0,1,0,23,4,29,19,5,15,1,7,12,0,0,0,39,464,2
31,2,14,2,5,1,0,1,0,1,1,0,5,0,0,0,0,0,1,0,0,0,8,4,0,4,16,0,0,0,2,2,30
