,precisions,recalls
art deco,0.5594405594405595,0.6896551724137931
art nouveau (modern),0.6083123425692695,0.5798319327731093
baroque,0.584942084942085,0.7214285714285714
expressionism,0.491273432449903,0.5205479452054794
contemporary realism,0.38144329896907214,0.22023809523809523
neo-expressionism,0.3333333333333333,0.30409356725146197
magic realism,0.5227272727272727,0.44660194174757284
cubism,0.6794871794871795,0.5559440559440559
northern renaissance,0.7052896725440806,0.6363636363636364
early renaissance,0.6844660194174758,0.6438356164383562
minimalism,0.6438356164383562,0.7540106951871658
symbolism,0.4418604651162791,0.5062695924764891
art informel,0.43103448275862066,0.3138075313807531
high renaissance,0.5313807531380753,0.5669642857142857
rococo,0.5839598997493735,0.5331807780320366
lyrical abstraction,0.4794520547945205,0.2966101694915254
fauvism,0.24528301886792453,0.23008849557522124
abstract expressionism,0.4976,0.5654545454545454
neoclassicism,0.5597826086956522,0.6306122448979592
pop art,0.4888888888888889,0.5919282511210763
abstract art,0.5251141552511416,0.4323308270676692
post-impressionism,0.47835738068812433,0.3979686057248384
romanticism,0.6022176022176022,0.5448275862068965
color field painting,0.6604651162790698,0.6729857819905213
impressionism,0.6797184337879455,0.6697009102730819
realism,0.511164274322169,0.6346534653465347
academicism,0.5,0.10714285714285714
ukiyo-e,0.8888888888888888,0.8341232227488151
mannerism (late renaissance),0.5656565656565656,0.42424242424242425
naïve art (primitivism),0.593103448275862,0.5319587628865979
surrealism,0.5644768856447688,0.5771144278606966
neo-romanticism,0.6122448979591837,0.30303030303030304
